frame,timestamp_sec,model,label,class_id,confidence,x1,y1,x2,y2,center_x,center_y,bbox_width,bbox_height,image_width,image_height
1,0.033,CRACK,crack,0,0.769127,1673,637,1919,755,1796.51,696.48,246,118,1920,1080
1,0.033,CRACK,crack,0,0.68032,71,258,874,1080,473.24,669.4,803,821,1920,1080
1,0.033,CRACK,crack,0,0.621159,497,0,1435,1022,966.29,511.41,937,1022,1920,1080
1,0.033,CRACK,crack,0,0.44368,3,0,676,915,339.7,457.8,673,915,1920,1080
1,0.033,CRACK,crack,0,0.420872,295,0,1232,646,763.81,323.25,936,646,1920,1080
1,0.033,CRACK,crack,0,0.387275,1394,0,1592,640,1493.26,320.07,197,640,1920,1080
1,0.033,CRACK,crack,0,0.35498,1305,539,1719,1077,1512.7,808.04,414,537,1920,1080
1,0.033,CRACK,crack,0,0.348036,53,0,101,387,77.27,193.84,47,387,1920,1080
1,0.033,CRACK,crack,0,0.332453,0,0,670,411,335.27,205.99,670,411,1920,1080
1,0.033,ROAD,Alligator Crack,2,0.628171,1015,179,1920,1065,1468.0,622.38,904,885,1920,1080
1,0.033,ROAD,Potholes,3,0.605135,1187,1045,1281,1080,1234.52,1062.68,93,34,1920,1080
1,0.033,ROAD,Alligator Crack,2,0.539161,180,259,889,1065,535.08,662.75,708,806,1920,1080
2,0.067,CRACK,crack,0,0.769127,1673,637,1919,755,1796.51,696.48,246,118,1920,1080
2,0.067,CRACK,crack,0,0.68032,71,258,874,1080,473.24,669.4,803,821,1920,1080
2,0.067,CRACK,crack,0,0.621159,497,0,1435,1022,966.29,511.41,937,1022,1920,1080
2,0.067,CRACK,crack,0,0.44368,3,0,676,915,339.7,457.8,673,915,1920,1080
2,0.067,CRACK,crack,0,0.420872,295,0,1232,646,763.81,323.25,936,646,1920,1080
2,0.067,CRACK,crack,0,0.387275,1394,0,1592,640,1493.26,320.07,197,640,1920,1080
2,0.067,CRACK,crack,0,0.35498,1305,539,1719,1077,1512.7,808.04,414,537,1920,1080
2,0.067,CRACK,crack,0,0.348036,53,0,101,387,77.27,193.84,47,387,1920,1080
2,0.067,CRACK,crack,0,0.332453,0,0,670,411,335.27,205.99,670,411,1920,1080
2,0.067,ROAD,Alligator Crack,2,0.628171,1015,179,1920,1065,1468.0,622.38,904,885,1920,1080
2,0.067,ROAD,Potholes,3,0.605135,1187,1045,1281,1080,1234.52,1062.68,93,34,1920,1080
2,0.067,ROAD,Alligator Crack,2,0.539161,180,259,889,1065,535.08,662.75,708,806,1920,1080
3,0.1,CRACK,crack,0,0.784258,1670,634,1920,750,1795.32,692.41,249,115,1920,1080
3,0.1,CRACK,crack,0,0.782047,69,263,875,1080,472.17,671.74,805,816,1920,1080
3,0.1,CRACK,crack,0,0.61058,297,0,1218,739,757.93,369.76,921,739,1920,1080
3,0.1,CRACK,crack,0,0.489413,1394,0,1590,635,1492.05,318.11,195,635,1920,1080
3,0.1,CRACK,crack,0,0.427813,2,0,663,910,332.6,455.39,660,910,1920,1080
3,0.1,CRACK,crack,0,0.3796,34,0,97,391,66.07,195.79,63,391,1920,1080
3,0.1,CRACK,crack,0,0.35734,1502,236,1585,634,1543.96,435.42,83,398,1920,1080
3,0.1,CRACK,crack,0,0.349936,1152,0,1262,565,1207.39,282.84,110,565,1920,1080
3,0.1,CRACK,crack,0,0.333151,1311,535,1723,1077,1517.42,806.5,412,542,1920,1080
3,0.1,CRACK,crack,0,0.331596,511,79,1452,1077,982.29,578.73,940,998,1920,1080
3,0.1,ROAD,Alligator Crack,2,0.661794,1111,458,1920,1057,1515.72,757.81,808,598,1920,1080
3,0.1,ROAD,Alligator Crack,2,0.634475,113,273,889,1069,501.04,671.59,775,795,1920,1080
3,0.1,ROAD,Potholes,3,0.612166,1180,1044,1282,1080,1231.7,1062.27,101,35,1920,1080
3,0.1,ROAD,Transverse Crack,1,0.312944,1651,620,1920,758,1785.59,689.19,268,138,1920,1080
4,0.133,CRACK,crack,0,0.801184,1670,631,1919,746,1794.79,688.8,248,114,1920,1080
4,0.133,CRACK,crack,0,0.764615,120,226,1153,1080,636.91,653.13,1032,853,1920,1080
4,0.133,CRACK,crack,0,0.700003,295,0,1214,605,755.08,302.58,919,605,1920,1080
4,0.133,CRACK,crack,0,0.576302,662,219,721,605,691.92,412.13,58,385,1920,1080
4,0.133,CRACK,crack,0,0.475311,1500,231,1587,633,1543.84,432.52,87,402,1920,1080
4,0.133,CRACK,crack,0,0.452227,44,0,96,387,70.74,193.55,52,387,1920,1080
4,0.133,CRACK,crack,0,0.436909,2,2,813,912,407.7,457.42,810,910,1920,1080
4,0.133,CRACK,crack,0,0.422861,1311,508,1725,1080,1518.45,794.25,414,571,1920,1080
4,0.133,CRACK,crack,0,0.422835,526,54,1366,1080,946.34,567.43,839,1025,1920,1080
4,0.133,CRACK,crack,0,0.355483,1131,0,1259,562,1195.91,281.06,128,562,1920,1080
4,0.133,ROAD,Alligator Crack,2,0.627008,1097,463,1920,1056,1508.79,760.06,822,593,1920,1080
4,0.133,ROAD,Alligator Crack,2,0.517435,142,264,882,1069,512.72,666.82,740,805,1920,1080
4,0.133,ROAD,Potholes,3,0.484533,1174,1040,1284,1080,1229.77,1060.46,110,39,1920,1080
4,0.133,ROAD,Potholes,3,0.446312,1184,0,1321,139,1252.66,69.83,137,138,1920,1080
4,0.133,ROAD,Transverse Crack,1,0.355516,1646,615,1920,756,1783.03,686.1,273,141,1920,1080
5,0.167,CRACK,crack,0,0.830038,1670,627,1919,745,1794.93,686.07,249,117,1920,1080
5,0.167,CRACK,crack,0,0.700257,67,270,894,1080,480.84,675.34,827,809,1920,1080
5,0.167,CRACK,crack,0,0.624193,449,112,1448,1073,949.24,593.39,999,960,1920,1080
5,0.167,CRACK,crack,0,0.553603,662,220,720,599,691.54,409.66,57,379,1920,1080
5,0.167,CRACK,crack,0,0.546356,292,0,1225,615,758.76,307.97,933,615,1920,1080
5,0.167,CRACK,crack,0,0.423226,1498,227,1585,630,1542.12,429.08,87,402,1920,1080
5,0.167,CRACK,crack,0,0.412785,41,0,94,386,67.83,193.41,53,386,1920,1080
5,0.167,CRACK,crack,0,0.373335,1389,0,1590,625,1489.68,312.87,200,625,1920,1080
5,0.167,CRACK,crack,0,0.346278,1316,522,1723,1077,1519.99,800.09,406,555,1920,1080
5,0.167,CRACK,crack,0,0.336364,4,0,644,395,324.47,197.53,640,395,1920,1080
5,0.167,CRACK,crack,0,0.314948,0,0,986,824,493.34,412.24,986,824,1920,1080
5,0.167,CRACK,crack,0,0.308201,1617,774,1723,1079,1670.17,926.98,105,304,1920,1080
5,0.167,ROAD,Alligator Crack,2,0.665165,1074,282,1920,1062,1497.06,672.17,845,780,1920,1080
5,0.167,ROAD,Potholes,3,0.525412,1168,1037,1283,1080,1226.12,1058.66,114,42,1920,1080
5,0.167,ROAD,Alligator Crack,2,0.523746,228,242,912,1064,570.41,653.83,683,822,1920,1080
6,0.2,CRACK,crack,0,0.863213,1667,622,1919,738,1793.88,680.91,251,115,1920,1080
6,0.2,CRACK,crack,0,0.685268,65,253,889,1080,477.61,666.76,824,826,1920,1080
6,0.2,CRACK,crack,0,0.539734,503,0,1445,1024,974.1,512.72,941,1024,1920,1080
6,0.2,CRACK,crack,0,0.459172,1387,0,1586,620,1486.68,310.48,198,620,1920,1080
6,0.2,CRACK,crack,0,0.455095,2,0,675,907,338.98,453.66,672,907,1920,1080
6,0.2,CRACK,crack,0,0.431154,296,0,1229,643,763.01,321.93,933,643,1920,1080
6,0.2,CRACK,crack,0,0.393623,1299,517,1724,1078,1512.4,798.0,424,560,1920,1080
6,0.2,CRACK,crack,0,0.359914,1496,227,1583,623,1539.97,425.35,86,395,1920,1080
6,0.2,ROAD,Alligator Crack,2,0.650975,1122,507,1919,1053,1521.17,780.35,797,545,1920,1080
6,0.2,ROAD,Potholes,3,0.578774,1160,1032,1284,1080,1222.37,1056.02,123,47,1920,1080
6,0.2,ROAD,Alligator Crack,2,0.528277,220,232,894,1066,557.19,649.5,674,834,1920,1080
6,0.2,ROAD,Potholes,3,0.336151,578,175,922,389,750.51,282.57,344,213,1920,1080
6,0.2,ROAD,Transverse Crack,1,0.317446,1648,608,1920,746,1784.01,677.13,271,138,1920,1080
7,0.233,CRACK,crack,0,0.847972,1666,619,1919,734,1792.95,676.97,253,114,1920,1080
7,0.233,CRACK,crack,0,0.718451,463,113,1446,1071,955.13,592.2,983,958,1920,1080
7,0.233,CRACK,crack,0,0.708939,63,255,901,1080,482.31,667.5,838,824,1920,1080
7,0.233,CRACK,crack,0,0.433446,2,0,669,902,335.8,451.2,666,902,1920,1080
7,0.233,CRACK,crack,0,0.417318,1384,0,1585,615,1485.04,307.63,201,615,1920,1080
7,0.233,CRACK,crack,0,0.365297,303,0,1228,636,765.97,318.05,925,636,1920,1080
7,0.233,CRACK,crack,0,0.339107,1305,510,1726,1078,1515.75,794.48,420,568,1920,1080
7,0.233,CRACK,crack,0,0.320846,1496,216,1582,623,1539.19,419.77,85,406,1920,1080
7,0.233,ROAD,Potholes,3,0.640433,1156,1029,1283,1080,1220.34,1054.97,126,50,1920,1080
7,0.233,ROAD,Alligator Crack,2,0.58535,1131,502,1920,1052,1525.52,777.65,788,549,1920,1080
7,0.233,ROAD,Transverse Crack,1,0.387739,1645,605,1920,739,1782.9,672.51,274,134,1920,1080
7,0.233,ROAD,Alligator Crack,2,0.378165,130,233,884,1071,507.7,652.18,753,837,1920,1080
7,0.233,ROAD,Potholes,3,0.312146,572,174,922,390,747.54,282.65,349,215,1920,1080
8,0.267,CRACK,crack,0,0.804254,1664,614,1919,732,1791.9,673.59,255,118,1920,1080
8,0.267,CRACK,crack,0,0.758713,65,241,949,1077,507.26,659.61,883,836,1920,1080
8,0.267,CRACK,crack,0,0.537937,291,0,1199,661,745.61,330.99,907,661,1920,1080
8,0.267,CRACK,crack,0,0.4888,1381,1,1584,615,1482.97,308.67,202,614,1920,1080
8,0.267,CRACK,crack,0,0.402322,529,0,1455,993,992.08,496.68,925,993,1920,1080
8,0.267,CRACK,crack,0,0.365125,1306,508,1728,1079,1517.16,794.07,422,571,1920,1080
8,0.267,CRACK,crack,0,0.364277,51,0,84,213,68.07,106.91,33,213,1920,1080
8,0.267,CRACK,crack,0,0.357196,1616,768,1725,1080,1670.82,924.11,109,311,1920,1080
8,0.267,CRACK,crack,0,0.336341,1495,207,1571,614,1533.61,410.96,76,406,1920,1080
8,0.267,CRACK,crack,0,0.309527,10,0,85,374,48.32,187.22,74,374,1920,1080
8,0.267,ROAD,Potholes,3,0.652332,1151,1026,1286,1080,1219.02,1053.13,135,53,1920,1080
8,0.267,ROAD,Alligator Crack,2,0.638305,1111,491,1920,1051,1515.82,771.57,808,559,1920,1080
8,0.267,ROAD,Alligator Crack,2,0.475767,161,211,881,1066,521.12,639.02,720,855,1920,1080
8,0.267,ROAD,Transverse Crack,1,0.316107,1639,600,1920,737,1779.99,668.99,280,137,1920,1080
9,0.3,CRACK,crack,0,0.774765,60,263,909,1080,485.05,671.92,848,816,1920,1080
9,0.3,CRACK,crack,0,0.767621,1662,610,1919,730,1791.12,670.89,256,119,1920,1080
9,0.3,CRACK,crack,0,0.557663,1492,211,1576,610,1534.66,410.66,83,399,1920,1080
9,0.3,CRACK,crack,0,0.538723,252,0,1201,619,726.87,309.87,948,619,1920,1080
9,0.3,CRACK,crack,0,0.453162,1378,1,1583,613,1480.85,307.63,204,611,1920,1080
9,0.3,CRACK,crack,0,0.409907,491,0,1402,1031,946.97,515.82,910,1031,1920,1080
9,0.3,CRACK,crack,0,0.398007,25,0,82,372,53.91,186.01,56,372,1920,1080
9,0.3,CRACK,crack,0,0.386041,1294,503,1728,1079,1511.7,791.15,434,576,1920,1080
9,0.3,CRACK,crack,0,0.335347,652,204,715,584,684.06,394.83,62,380,1920,1080
9,0.3,CRACK,crack,0,0.304113,7,0,709,890,358.46,445.3,702,890,1920,1080
9,0.3,ROAD,Alligator Crack,2,0.652489,1113,467,1920,1051,1516.51,759.18,806,584,1920,1080
9,0.3,ROAD,Potholes,3,0.542401,1134,1020,1289,1080,1212.03,1050.17,154,59,1920,1080
9,0.3,ROAD,Transverse Crack,1,0.364102,1637,595,1920,735,1778.95,665.76,282,140,1920,1080
9,0.3,ROAD,Alligator Crack,2,0.361472,166,216,876,1074,521.66,645.72,710,858,1920,1080
10,0.333,CRACK,crack,0,0.776749,58,253,912,1080,485.25,666.85,854,826,1920,1080
10,0.333,CRACK,crack,0,0.770785,1660,608,1919,727,1789.83,667.58,259,118,1920,1080
10,0.333,CRACK,crack,0,0.661331,1491,205,1577,611,1534.33,408.73,85,406,1920,1080
10,0.333,CRACK,crack,0,0.504493,650,204,711,586,681.12,395.5,60,381,1920,1080
10,0.333,CRACK,crack,0,0.41682,17,0,79,371,48.38,185.59,62,371,1920,1080
10,0.333,CRACK,crack,0,0.409633,600,176,1444,1080,1022.54,628.06,844,903,1920,1080
10,0.333,CRACK,crack,0,0.392019,1299,492,1728,1079,1513.96,785.97,429,586,1920,1080
10,0.333,CRACK,crack,0,0.381387,305,0,1232,622,769.02,311.31,927,622,1920,1080
10,0.333,CRACK,crack,0,0.379003,3,0,662,893,332.72,446.63,659,893,1920,1080
10,0.333,CRACK,crack,0,0.354462,1374,0,1583,613,1479.31,307.22,208,612,1920,1080
10,0.333,ROAD,Alligator Crack,2,0.610355,1133,485,1920,1046,1526.97,765.7,786,560,1920,1080
10,0.333,ROAD,Potholes,3,0.561055,1130,1018,1288,1080,1209.78,1049.44,158,61,1920,1080
10,0.333,ROAD,Transverse Crack,1,0.380129,1643,593,1920,730,1781.57,661.95,276,137,1920,1080
11,0.367,CRACK,crack,0,0.77227,1659,604,1919,722,1789.06,663.45,259,118,1920,1080
11,0.367,CRACK,crack,0,0.740226,55,274,915,1080,485.46,677.15,860,805,1920,1080
11,0.367,CRACK,crack,0,0.733247,649,202,709,581,679.64,392.14,59,378,1920,1080
11,0.367,CRACK,crack,0,0.616594,505,108,1436,1080,971.37,594.49,931,971,1920,1080
11,0.367,CRACK,crack,0,0.595238,1488,201,1575,609,1531.87,405.31,86,408,1920,1080
11,0.367,CRACK,crack,0,0.494744,315,0,1243,580,779.15,290.37,927,580,1920,1080
11,0.367,CRACK,crack,0,0.482384,1616,768,1725,1079,1670.93,924.03,108,311,1920,1080
11,0.367,CRACK,crack,0,0.394564,42,0,76,206,59.62,103.44,34,206,1920,1080
11,0.367,CRACK,crack,0,0.393381,1372,0,1582,609,1477.89,305.05,210,609,1920,1080
11,0.367,CRACK,crack,0,0.379511,12,0,76,370,44.46,185.04,63,370,1920,1080
11,0.367,CRACK,crack,0,0.359048,3,0,679,885,341.71,442.8,676,885,1920,1080
11,0.367,ROAD,Alligator Crack,2,0.664684,1124,404,1920,1052,1522.25,728.69,795,648,1920,1080
11,0.367,ROAD,Potholes,3,0.517323,1125,1016,1288,1080,1207.04,1048.21,162,63,1920,1080
11,0.367,ROAD,Alligator Crack,2,0.303289,218,199,881,1069,550.15,634.43,662,869,1920,1080
12,0.4,CRACK,crack,0,0.814388,1657,599,1919,720,1788.66,659.92,261,120,1920,1080
12,0.4,CRACK,crack,0,0.749102,53,211,946,1080,499.77,645.93,892,868,1920,1080
12,0.4,CRACK,crack,0,0.641882,537,0,1470,1005,1003.97,502.89,932,1005,1920,1080
12,0.4,CRACK,crack,0,0.475954,1368,1,1579,599,1473.9,300.35,210,598,1920,1080
12,0.4,CRACK,crack,0,0.468462,1613,761,1722,1079,1668.12,920.43,108,318,1920,1080
12,0.4,CRACK,crack,0,0.436732,648,198,707,574,677.69,386.23,59,376,1920,1080
12,0.4,CRACK,crack,0,0.419032,1485,198,1570,599,1528.19,398.75,84,400,1920,1080
12,0.4,CRACK,crack,0,0.412801,5,0,74,367,39.77,183.68,69,367,1920,1080
12,0.4,CRACK,crack,0,0.369613,11,0,633,378,322.41,189.47,622,378,1920,1080
12,0.4,CRACK,crack,0,0.353173,294,0,1237,595,766.05,297.63,942,595,1920,1080
12,0.4,CRACK,crack,0,0.329757,780,717,1286,1080,1033.79,898.61,506,362,1920,1080
12,0.4,CRACK,crack,0,0.315015,4,0,687,886,346.09,443.12,682,886,1920,1080
12,0.4,ROAD,Alligator Crack,2,0.671195,1113,395,1920,1049,1516.65,722.81,806,653,1920,1080
12,0.4,ROAD,Alligator Crack,2,0.518072,227,210,877,1079,552.6,645.0,650,869,1920,1080
12,0.4,ROAD,Potholes,3,0.413181,1122,1013,1288,1080,1205.54,1046.9,166,66,1920,1080
13,0.433,CRACK,crack,0,0.8458,1657,596,1919,716,1788.34,656.17,261,120,1920,1080
13,0.433,CRACK,crack,0,0.745855,46,297,850,1080,448.4,688.95,804,782,1920,1080
13,0.433,CRACK,crack,0,0.676315,15,0,649,373,332.73,186.72,633,373,1920,1080
13,0.433,CRACK,crack,0,0.539283,778,726,1285,1080,1031.82,903.41,507,353,1920,1080
13,0.433,CRACK,crack,0,0.503565,1367,1,1577,595,1472.77,298.44,209,594,1920,1080
13,0.433,CRACK,crack,0,0.426989,1483,194,1569,599,1526.62,396.88,85,404,1920,1080
13,0.433,CRACK,crack,0,0.426373,7,0,73,363,40.28,181.74,66,363,1920,1080
13,0.433,CRACK,crack,0,0.36038,1297,482,1724,1078,1511.05,780.47,427,595,1920,1080
13,0.433,CRACK,crack,0,0.334297,509,0,1446,1011,977.88,505.67,937,1011,1920,1080
13,0.433,ROAD,Alligator Crack,2,0.676847,1067,386,1920,1049,1493.56,718.37,852,663,1920,1080
13,0.433,ROAD,Potholes,3,0.460406,1130,1008,1284,1078,1207.5,1043.55,154,70,1920,1080
13,0.433,ROAD,Alligator Crack,2,0.452571,233,209,873,1075,553.73,642.59,640,866,1920,1080
14,0.467,CRACK,crack,0,0.812539,1655,591,1919,714,1787.46,652.86,263,122,1920,1080
14,0.467,CRACK,crack,0,0.751197,44,286,837,1080,441.01,683.45,793,793,1920,1080
14,0.467,CRACK,crack,0,0.441048,5,0,70,361,38.18,180.53,64,361,1920,1080
14,0.467,CRACK,crack,0,0.417703,637,165,1298,1076,968.33,620.97,660,910,1920,1080
14,0.467,CRACK,crack,0,0.408925,1299,476,1724,1078,1512.0,777.6,424,602,1920,1080
14,0.467,CRACK,crack,0,0.34728,1126,0,1232,527,1179.3,263.62,106,527,1920,1080
14,0.467,CRACK,crack,0,0.310213,1363,0,1579,591,1471.47,295.86,215,591,1920,1080
